Country,Last,Previous,Reference,Unit
Moldova,18,18,Dec-18,%
Ukraine,18,18,Dec-20,%
Angola,17,17,Dec-20,%
Hong Kong,17,15,Dec-19,%
Costa Rica,15,15,Dec-20,%
Hungary,15,15,Dec-20,%
Iraq,15,15,Dec-19,%
Mauritius,15,15,Dec-20,%
Seychelles,15,15,Dec-20,%
Sudan,15,15,Dec-20,%
Yemen,15,15,Dec-19,%
Belarus,13,13,Dec-18,%
Bolivia,13,13,Dec-20,%
Russia,13,13,Dec-20,%
Tajikistan,13,13,Dec-19,%
Macau,12,12,Dec-19,%
Bosnia and Herzegovina,10,10,Dec-18,%
Bulgaria,10,10,Dec-19,%
Kazakhstan,10,10,Dec-19,%
Kosovo,10,10,Dec-20,%
Libya,10,10,Dec-20,%
Macedonia,10,10,Dec-18,%
Mongolia,10,10,Dec-19,%
Romania,10,10,Dec-20,%
Serbia,10,10,Dec-19,%
Montenegro,9,9,Dec-18,%
Guatemala,7,7,Dec-20,%
Bahamas,0,0,Dec-20,%
Bahrain,0,0,Dec-19,%
Bermuda,0,0,Dec-20,%
Brunei,0,0,Dec-19,%
Cayman Islands,0,0,Dec-20,%
Kuwait,0,0,Dec-19,%
Oman,0,0,Dec-19,%
Qatar,0,0,Dec-19,%
Saudi Arabia,0,0,Dec-21,%
United Arab Emirates,0,0,Dec-19,%
