number,Country,Currency,Currency code,Currency number
,Netherlands Antilles,Netherlands Antilles Guilder,ANG,532
,"Curaçao, Sint Maarten",,,
,New Caledonia,CFP Franc (South Pacific Franc),XPF,953
,New Zealand,New Zealand Dollar,NZD,554
,Nicaragua,Nicaraguan Córdoba (córdoba oro),NIO,558
,Niger,West African CFA Franc,XOF,952
,Nigeria,Nigerian Naira,NGN,566
,Niue,New Zealand Dollar,NZD,554
,Northern Mariana Islands,US Dollar,USD,840
,Norway,Norwegian Krone,NOK,578
,,,,
O,,,,
,Oman,Omani Rial,OMR,512
,,,,
,,,,
P,,,,
,Pakistan,Pakistan Rupee,PKR,586
,Palau,US Dollar,USD,840
,State of Palestine,Egyptian Pound,EGP,
,,Israeli New Shekel,ILS,
,,Jordanian Dinar,JOD,
,Panama,Panamanian Balboa,PAB,590
,,US Dollar,USD,840
,Papua New Guinea,Papua New Guinean Kina,PGK,598
,Paraguay,Paraguayan Guarani,PYG,600
,Peru,Peruvian (Nuevo) Sol,PEN,604
,Philippines,Philippine Peso,PHP,608
,Pitcairn Island,New Zealand Dollar,NZD,554
,Poland,Polish Zloty (złoty),PLN,985
,Portugal,Euro,EUR,978
,,replaced Portugese Escudo,PTE,620
,Puerto Rico,US Dollar,USD,840
,,,,
Q,,,,
,Qatar,Qatari Rial,QAR,634
,,,,
,,,,
R,,,,
,Reunion Island,Euro,EUR,978
,Romania,Leu,ROL,642
,Russian Federation,Russian Ruble,RUR,810
,,Russian Ruble,RUB,643
,Rwanda,Rwanda Franc,RWF,646
,,,,
,,,,
S,,,,
,Saint Helena,Saint Helena Pound,SHP,654
,Saint Kitts and Nevis,East Caribbean Dollar,XCD,951
,Saint Lucia,East Caribbean Dollar,XCD,951
,Saint Vincent and the Grenadines,East Caribbean Dollar,XCD,951
,  Samoa,Tala,WST,882
,San Marino,Euro,EUR,978
,Sao Tome and Principe,Dobra,STD,678
,Saudi Arabia,Saudi Riyal,SAR,682
,Senegal,CFA Franc BCEAO,XOF,952
,Serbia,Serbian Dinar,CSD,891
,Seychelles,Seychelles Rupee,SCR,690
,Sierra Leone,Leone,SLL,694
,Singapore,Singapore Dollar,SGD,702
,Slovakia (Slovak Republic),Euro since 1. 1. 2009,EUR,978
,,replaced Slovak Koruna,SKK,703
,Slovenia,Euro since 1. 1. 2007,EUR,978
,,replaced Slovenian Tolar,SIT,705
,Solomon Islands,Solomon Islands Dollar,SBD,90
,Somalia,Somali Shilling,SOS,706
,South Africa,Rand,ZAR,710
,South Sudan,South Sudanese pound,SSP,728
,,since 18. July 2011,,
,Spain,Euro,EUR,978
,,replaced Spanish Peseta,ESP,724
,Sri Lanka,Sri Lanka Rupee,LKR,144
,Sudan,Sudanese Dinar [obsolete],SDD,736
,,since 10. Jan. 2007 Sudanese Pound,SDG,938
,Suriname,Suriname Guilder,SRG,740
,Swaziland,Lilangeni,SZL,748
,Sweden,Swedish Krona,SEK,752
,Switzerland,Swiss Franc,CHF,756
,Syrian Arab Republic,Syrian Pound,SYP,760
,,,,
T,,,,
,"Taiwan, Republic of China",New Taiwan Dollar,TWD,901
,Tajikistan,Somoni,TJS,972
,Tanzania,Tanzanian Shilling,TZS,834
,Thailand,Thai Baht,THB,764
,Timor Leste,US Dollar,USD,840
,Togo,CFA Franc BCEAO,XOF,952
,Tokelau,New Zealand Dollar,NZD,554
,Tonga,Paʻanga,TOP,776
,Trinidad and Tobago,Trinidad and Tobago Dollar,TTD,780
,Tunisia,Tunisian Dinar,TND,788
,Turkey,Yeni Türk Liras (YTL),TRY,949
,,on 1 January 2005 New Turkish Lira replaced Turkish Lira (TRL),,
,Turkmenistan,Manat,TMM,795
,Turks and Caicos Islands,US Dollar,USD,840
,Tuvalu,Australian Dollar,AUD,36
,,,,
U,,,,
,Uganda,Uganda Shilling,UGX,800
,Ukraine,Ukrainian Hryvnia,UAH,980
,United Arab Emirates,UAE Dirham,AED,784
,United Kingdom,Pound Sterling,GBP,826
,United States,US Dollar r (Same day),USD,998
,,US Dollar r (Next day),USN,997
,Uruguay,Uruguayan Peso,UYU,858
,Uzbekistan,Uzbekistan Sum,UZS,860
,,,,
V,,,,
,Vanuatu,Vanuatu Vatu,VUV,548
,Vatican City State (Holy See),Euro,EUR,978
,Venezuela,Venezuelan Bolívar,VEF,937
,,,,
,Vietnam,Vietnamese Dong,VND,704
,Virgin Islands (British),US Dollar,USD,840
,Virgin Islands (U.S.),US Dollar,USD,840
,,,,
W,,,,
,Wallis and Futuna Islands,CFP Franc,XPF,953
,Western Sahara,Moroccan Dirham,MAD,504
,,,,
Y,,,,
,Yemen,Yemeni Rial,YER,886
,,,,
Z,,,,
,Zambia,"Zambian Kwacha (As of 30 June 2013, ZMK is no longer legal tender)",ZMW,894
,Zimbabwe,Zimbabwe Dollar,ZWD,716
